"","id","partner","type_trial","promise","dec_partner","prom_keys","prom_keys_rt","decision","decision_rt","prom_percent","decision_gain","response"
"125","6","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",7.5542371273,NA,10,0
"126","6","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",1.8762948513,NA,5,1
"127","6","Friend","Promise","Promise","Trust","Mostly",5.3836889267,"Pay back",4.79533314705,66.66,5,1
"128","6","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"129","6","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",5.09976196289,NA,5,1
"130","6","Friend","Promise","Promise","Trust","Always",4.02036690712,"Pay back",2.14665412903,100,5,1
"131","6","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"132","6","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",2.35150408745,NA,5,1
"133","6","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"134","6","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",2.65684986115,NA,5,1
"135","6","Computer","Not apply","No promise","Trust",NA,NA,"Pay back",1.94031500816,NA,5,1
"136","6","Confederate","No Promise","No promise","Trust",NA,NA,"Pay back",2.08972096443,NA,5,1
"137","6","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"138","6","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",2.3035030365,NA,5,1
"139","6","Computer","Promise","Promise","No trust","Always",2.81564211845,NA,NA,100,NA,NA
"140","6","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",3.42480802536,NA,5,1
"141","6","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",2.13831090927,NA,5,1
"142","6","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",1.03769302368,NA,5,1
"143","6","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"144","6","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",7.47606301308,NA,5,1
"145","7","Confederate","Promise","Promise","Trust","Mostly",2.06680893898,"Pay back",3.53405499458,66.66,5,1
"146","7","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",2.21980595589,NA,10,0
"147","7","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",1.35181498528,NA,5,1
"148","7","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",2.902780056,NA,10,0
"149","7","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",1.95274209976,NA,10,0
"150","7","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",1.85274600983,NA,5,1
"151","7","Friend","Promise","Promise","Trust","Mostly",2.33602190018,"Pay back",2.40057682991,66.66,5,1
"152","7","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"153","7","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",3.23611283302,NA,10,0
"154","7","Friend","Promise","Promise","Trust","Always",2.78614997864,"Pay back",1.71909999847,100,5,1
"155","7","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"156","7","Confederate","Not apply","Promise","Trust",NA,NA,"Not to pay back",3.56978392601,NA,10,0
"157","7","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"158","7","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",1.18585586548,NA,5,1
"159","7","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",1.68608999252,NA,10,0
"160","7","Confederate","No Promise","No promise","Trust",NA,NA,"Not to pay back",2.68624901772,NA,10,0
